,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
MS-07291000,-0.22302631578947385,490.3835526315793,2.5980503484124284e-06,-3.0,37.0,-8.698,-0.201,49.014,40.316
MS-07292500,-1.27016491754123,2755.5193403298363,1.7551962772088814e-08,-3.0,37.0,-49.536,-0.217,241.863,192.327
MS-07295000,-0.2727272727272727,582.3636363636363,0.02501085252048796,-2.0,35.0,-10.636,-0.274,42.636,32.0
MT-06037500,-0.5999999999999974,1562.1999999999948,0.2813739813499434,-0.0,32.0,-20.4,-0.054,371.8,351.4
MT-06043500,0.23764705882352827,-214.36235294117415,0.4229385169869495,0.0,36.0,9.268,0.035,255.941,265.209
MT-06154410,-0.016666666666666663,34.45099999999999,4.318790502999548e-08,-3.0,30.0,-0.484,-0.362,1.468,0.984
MT-06191000,0.09142857142857151,-95.18428571428586,0.38409623025339235,0.0,34.0,3.018,0.034,86.301,89.319
MT-06191500,0.04861111111111506,632.4506944444365,0.9590895959915762,0.0,40.0,1.896,0.003,728.652,730.548
MT-06289000,0.15296296296296294,-250.9964814814814,0.018285463418090453,2.0,40.0,5.966,0.108,51.717,57.683
MT-12358500,1.7676666666666656,-3112.381833333331,0.00031201874979447375,3.0,40.0,68.94,0.156,385.83,454.77
MT-12374250,0.002683006535947721,-3.3673545751634157,0.08073410867925257,1.0,36.0,0.094,0.046,1.953,2.047
MT-12375900,0.0,6.131,0.9860411276785421,0.0,36.0,0.0,0.0,6.131,6.131
MT-12377150,0.024611111111111115,-40.53452777777779,0.03579751218443339,2.0,36.0,0.862,0.097,8.269,9.131
MT-12381400,0.026491228070175447,-44.08570175438598,0.18393221186627917,0.0,36.0,0.928,0.102,8.446,9.374
MT-12390700,-0.07329004329004335,187.47015151515163,0.0752009798984068,-1.0,40.0,-2.858,-0.069,42.429,39.571
NB-01AD003,-0.011545454545454546,27.21781818181818,0.34965229923179186,-0.0,39.0,-0.438,-0.098,4.369,3.931
NB-01AJ004,-0.0010000000000000009,3.2180000000000017,0.8611689062046799,-0.0,39.0,-0.038,-0.029,1.239,1.201
NB-01AJ010,-0.0020000000000000018,4.738000000000004,0.43065940341150055,-0.0,39.0,-0.076,-0.097,0.78,0.704
NB-01AK001,-0.001999999999999999,4.435999999999998,0.5110981922065108,-0.0,39.0,-0.076,-0.139,0.478,0.402
NB-01AP002,-0.003588235294117647,7.863294117647058,0.5452443209080475,-0.0,39.0,-0.136,-0.167,0.762,0.626
NB-01AP004,-0.020909090909090947,44.67636363636371,0.1839971261273794,-0.0,39.0,-0.794,-0.231,3.297,2.503
NB-01AQ001,0.0034927536231884066,-6.175268115942031,0.6312754215858318,0.0,40.0,0.136,0.147,0.737,0.873
NB-01BC001,0.04222222222222221,-72.15999999999998,0.010577199727251463,2.0,39.0,1.604,0.134,11.398,13.002
NB-01BE001,0.052814814814814856,-98.71200000000007,0.003730655754494716,3.0,39.0,2.006,0.28,5.809,7.815
NB-01BJ003,0.007857142857142856,-14.454571428571427,0.00022645818512989635,3.0,39.0,0.298,0.233,1.095,1.393
NB-01BL002,0.003100000000000003,-5.391800000000005,0.15521064793766937,0.0,39.0,0.118,0.141,0.743,0.861
NB-01BO001,-0.04999999999999982,123.43999999999964,0.7094853987128156,-0.0,39.0,-1.9,-0.079,24.49,22.59
NB-01BP001,0.00969230769230765,-12.453230769230682,0.09041920453875107,1.0,39.0,0.368,0.052,6.728,7.096
NB-01BQ001,0.014499999999999985,-25.39899999999997,0.0926786550030747,1.0,39.0,0.551,0.154,3.297,3.848
NB-01BS001,-0.0014545454545454547,3.1861818181818187,0.22421732720010068,-0.0,39.0,-0.056,-0.174,0.308,0.252
NB-01BU002,-0.004285714285714289,9.11285714285715,0.25101945913038204,-0.0,39.0,-0.162,-0.247,0.631,0.469
NB-01BV006,-0.0006666666666666673,1.8120000000000012,0.8835504902559892,-0.0,39.0,-0.026,-0.048,0.493,0.467
NC-02053200,0.03807258064516128,-72.25005241935482,0.11060815152296466,0.0,40.0,1.484,0.228,3.096,4.58
NC-02077200,0.0,0.27599999999999997,0.3075719099047052,0.0,40.0,0.0,0.0,0.276,0.276
NC-02081500,-0.02585714285714286,53.3855,6.297642722241648e-05,-3.0,40.0,-1.008,-0.256,2.214,1.206
NC-02082950,-0.138125,284.4628125,0.004649500193526279,-3.0,40.0,-5.386,-0.426,11.113,5.727
NC-02084557,0.00855,-16.861175,0.3517407247238342,0.0,40.0,0.334,0.399,0.059,0.393
NC-02092500,0.10159090909090905,-195.83943181818174,0.13596174909184988,0.0,40.0,3.962,0.366,5.209,9.171
NC-02096846,-0.0011111111111111111,2.252111111111111,0.05969572545168744,-1.0,30.0,-0.032,-0.336,0.042,0.01
NC-02102908,-0.04548872180451126,95.58021052631575,1.6499209394282843e-06,-3.0,40.0,-1.774,-0.381,5.558,3.784
NC-02108000,0.14062499999999956,-239.73906249999914,0.7238487087823444,0.0,40.0,5.484,0.094,38.558,44.042
NC-02111180,-0.05151368760064409,129.95010466988722,0.42465328398339963,-0.0,40.0,-2.01,-0.068,28.005,25.995
NC-02111500,-0.15819628647214834,376.1552785145884,0.4534305911692411,-0.0,40.0,-6.17,-0.105,63.085,56.915
NC-02112120,-0.48235294117646993,1038.776470588234,0.012735767354167926,-2.0,35.0,-16.4,-0.223,84.2,67.8
NC-02112360,-0.38461538461538464,824.6923076923077,0.0037010566218038665,-3.0,35.0,-13.076,-0.229,63.538,50.462
NC-02118500,-0.4767407407407403,1022.1463703703695,0.06487621399418453,-1.0,40.0,-18.592,-0.272,78.676,60.084
NC-02125000,-0.008888888888888889,17.954444444444444,0.000744670724502905,-3.0,31.0,-0.266,-0.494,0.363,0.097
NC-02128000,-0.20857142857142857,421.552,0.0,-3.0,40.0,-8.134,-1.007,8.789,0.655
NC-02137727,-0.01714285714285644,121.82714285714144,0.9560195519502577,-0.0,38.0,-0.634,-0.007,87.867,87.233
NC-02140991,0.439047619047619,-760.9733333333334,0.3268374111152701,0.0,33.0,14.05,0.112,110.975,125.025
NC-02143000,-0.4083333333333335,861.144166666667,0.00015484834686430027,-3.0,40.0,-15.925,-0.37,53.053,37.128
NC-02143040,-0.1749090909090909,362.0558181818182,1.6862556906360737e-08,-3.0,40.0,-6.822,-0.543,15.911,9.089
NC-02149000,-0.466969696969697,985.9089393939394,0.06525428840019387,-1.0,40.0,-18.212,-0.33,61.776,43.564
NC-02152100,-0.39111111111111085,812.135555555555,1.7841831456699708e-07,-3.0,40.0,-15.254,-0.518,38.127,22.873
NC-03161000,-0.06654761904761888,305.5954166666663,0.7404902973847489,-0.0,40.0,-2.596,-0.014,173.898,171.302
NC-03439000,-0.09448275862068964,266.85379310344825,0.5651175854196304,-0.0,40.0,-3.684,-0.041,79.872,76.188
