,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
04-25,-0.0017818518518518513,4.7494737037037025,0.9000495104447428,-0.0,43.0,-0.075,-0.055,1.223,1.148
04-26,-0.00036516129032258056,1.9953325806451612,0.9666016504660737,-0.0,43.0,-0.016,-0.011,1.273,1.257
04-27,0.002572727272727272,-3.764414545454544,0.7855214940093,0.0,43.0,0.108,0.067,1.327,1.435
04-28,0.005659999999999998,-9.771989999999997,0.5791014739018652,0.0,43.0,0.238,0.14,1.429,1.667
04-29,0.007745263157894734,-13.98496631578947,0.5230904371097012,0.0,43.0,0.325,0.182,1.343,1.668
04-30,0.006846774193548389,-12.023848387096779,0.6753956080781136,0.0,43.0,0.287,0.149,1.526,1.813
05-01,0.008490000000000003,-15.072580000000007,0.6007457782223744,0.0,43.0,0.357,0.174,1.729,2.086
05-02,-0.0012128571428571583,4.5906642857143165,0.9916494976852062,-0.0,43.0,-0.051,-0.024,2.19,2.139
05-03,-0.003747837837837846,9.904005675675691,0.7774974111100883,-0.0,43.0,-0.157,-0.069,2.487,2.33
05-04,-0.002091739130434777,6.815378260869554,0.8587690092071076,-0.0,43.0,-0.088,-0.036,2.676,2.588
05-05,0.0033294117647058815,-4.287283529411763,0.8178666624076312,0.0,43.0,0.139,0.053,2.302,2.441
05-06,0.008925384615384613,-15.167929230769225,0.6601833523728466,0.0,43.0,0.375,0.131,2.495,2.87
05-07,0.011319999999999997,-19.948669999999993,0.5577321316930381,0.0,43.0,0.475,0.158,2.454,2.929
05-08,0.015565000000000006,-28.41320000000001,0.4246260418071721,0.0,43.0,0.654,0.21,2.39,3.044
05-09,0.01819285714285714,-33.64061428571428,0.2578740192148292,0.0,43.0,0.764,0.233,2.363,3.127
05-10,0.023064499999999998,-43.1575,0.1359211206003088,0.0,43.0,0.969,0.291,2.487,3.456
05-11,0.025017200000000007,-46.949700000000014,0.1439543497857323,0.0,43.0,1.051,0.31,2.559,3.61
05-12,0.026123076923076933,-48.87845384615386,0.12059759972494799,0.0,43.0,1.097,0.308,2.819,3.916
05-13,0.027108421052631584,-50.905742105263165,0.24949588394046307,0.0,43.0,1.138,0.293,2.742,3.88
05-14,0.022444827586206896,-41.691755172413785,0.13633659405074594,0.0,43.0,0.942,0.222,2.727,3.669
05-15,0.023583333333333362,-43.82726666666672,0.181289063660792,0.0,43.0,0.991,0.216,2.844,3.835
05-16,0.02515555555555555,-46.773611111111094,0.15397653124389965,0.0,43.0,1.057,0.214,3.009,4.066
05-17,0.022640000000000025,-41.51610000000005,0.20454402948580785,0.0,43.0,0.951,0.197,3.288,4.239
05-18,0.01920357142857143,-34.69984285714286,0.4573148736080712,0.0,43.0,0.807,0.164,3.304,4.111
05-19,0.012686206896551729,-21.66511379310346,0.6302255973372057,0.0,43.0,0.533,0.105,3.441,3.974
