SID,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AB-05AA008,0.6271812016252204,0.7071147532690542,1.4030193469426409,0.5599885062786596,0.4338284569640164,0.5748030090151516,0.6767231022948719,1.4297380457407407,0.4843855140109427,0.4775606304208754,0.6951383786904761,1.8132841908333337,3.247277756666667,0.7674545168181818,1.9921018372222223,0.5911599337710438,2.7375320926282054,1.5992129279497356,1.494553635595238,2.858076501458333,1.0629999716156462,0.5836464165343915,0.6672407491975308,2.434523647222222,0.8925811648809521,0.3924746131746032,2.2370914801375656,0.9116642821111112,1.0580902687499998,2.145345860011338,0.5642234212728938,1.199260371681818,2.063946755643739,1.4428332692307693,3.406577355503205,2.5505775378557862,1.0506002335416669,0.4374468930128204,1.143880955595238,0.8152169012480375,0.6162307888461539,,
AB-05AA023,2.4421190476190477,2.571936507936508,6.10641865079365,2.295322871572872,1.127473231896309,1.9985194805194804,2.582397186147186,4.359516666666667,1.7634591836734692,1.797021212121212,1.875371830550402,7.879841269841269,9.64278659611993,2.862838827838828,12.734090909090908,1.8233015873015872,22.67839947089947,5.509970538720538,3.6123003663003663,11.327272727272726,3.1835228174603167,1.1843148148148148,3.417958333333333,10.80309523809524,3.2048273809523806,1.81878111946533,12.460296296296296,2.606061507936508,2.4417453703703704,6.579100000000001,,,,,,,,,,,,,
AB-05AD003,3.9189581875,4.035270656837606,5.321382753787879,3.0910832623611117,2.084802879229798,3.362540088095238,2.847882838395062,2.950072294334215,2.7555580086700338,1.8247633784175084,3.1846572840367964,3.0138315393181814,8.286938811734693,1.477371827808303,2.1561723518518523,2.456800527256236,19.22872802233709,3.211694530430933,4.948215663705358,6.535404353186275,4.139932105376082,2.562369132051282,5.6101705708806815,6.351388788194445,2.446166880181277,1.8890687641372372,2.524674897095034,5.281956474386724,2.617059052014652,8.137499939930555,2.209720602922077,3.650605834175084,4.639830069387756,3.760079187063493,5.301621902529762,7.494434014400838,1.702087282544643,,,4.5256430721428575,3.1681572664772726,,
AB-05AD005,1.7702850274725277,1.5078437372812372,2.106689814814815,1.3974122103386808,1.1840752442002442,1.5268521825396824,1.9825034872534877,1.79277876984127,2.1865666666666668,1.028127450980392,2.153150297619048,1.910311507936508,3.831947278911565,0.9312307692307692,1.7833205128205132,0.9714544817927172,6.348062499999999,2.362584033613446,2.9442096866096863,3.5812592592592583,2.461476086956522,1.3402776112776114,2.769375,3.109039682539683,1.375946886446887,1.1330885416666667,2.151112637362637,2.5543187731232844,1.2210978835978836,3.2160476190476186,1.6522383432539682,3.5864227207977204,3.665252525252525,2.775726984126984,2.979677777777778,3.669381118881119,1.4144747474747474,,,,,,
AB-05BA002,,,,,,,1.0011409932659932,2.209853741496598,1.339289152024446,1.3499,0.9328469387755102,1.731400297619048,1.480134615384615,1.0557997198879552,1.2907395833333333,1.05868599257885,1.543054843304843,1.609557407407407,1.519087112959662,1.1197777777777778,1.7470588235294116,1.077751082251082,2.0922539682539685,1.3318380952380957,1.1843187830687831,1.1582420634920636,1.36635119047619,1.0391527777777778,1.8497161172161167,1.6214973544973548,0.9687712585034012,1.5010366300366298,1.5795987654320989,2.7894444444444444,2.0189705882352937,1.51715406162465,,,,,,,
AB-05BB001,9.553383131994046,6.456087318270945,8.922786801606978,6.6062975632142855,5.525524017249417,6.432541761371882,5.419728475035862,7.677335856376956,6.775208118055557,9.014636425213675,5.574787754273505,10.07260608060606,7.91711313095238,5.326989723299319,6.3347617779761904,5.837568508946609,8.077500058796295,8.279688938649654,5.7871747619963365,4.8187832255291,7.894903476928373,4.471075075132275,6.756111412301588,7.6853085083774255,6.431527670833333,6.301190475,6.074907168492063,6.1229168625,6.826089740151516,6.924305483459595,4.26037746937729,6.277128595079366,7.657632427876983,11.086888105477858,9.48651989485348,6.342923201871657,3.7939915776871977,4.176630866904762,,5.211055476805555,5.980555479444443,,
AB-05BL022,0.4576509969345239,0.4442532939511164,0.7670789782226107,0.4049565070324675,0.2611155592305147,0.4931095117142857,0.4465982323908731,0.6133995552056277,0.2933784197991453,0.3835055631851852,0.2791304154017094,1.5801605731363637,1.0032737150997733,0.5014729163303572,1.53369107229798,0.2635930641458333,6.302527266121212,0.7809295354967951,0.8652285853095236,3.2048100474166668,0.4050266876911976,0.1939874912797619,0.9184071429404764,1.3685890413227513,0.4330605556637806,0.3293531258139881,1.5314660324649858,0.5814299889081431,0.4503151362045454,1.956047687047619,0.5193690476984126,0.5799791907102272,1.350285200416667,1.2590452674285713,9.488058205383595,1.140088873416084,0.2731892344648526,,,0.8134166402380953,0.5967095085421247,,
AB-05CA009,3.673640638503164,4.566077460794414,13.078730250727512,3.6240254225446416,4.704757029166666,3.544235567936508,3.4664442288165267,8.249848945515874,3.4978747766666665,4.1927778662962965,4.035518164285714,21.97378589904762,6.2110214983116885,3.963874903611111,6.657179252820511,4.626111061904762,15.346666672222222,5.605883985577201,4.295744490927457,7.091569595687646,8.003344098272008,1.6837279881290066,5.1368056025,4.239505325,9.842916615416668,5.739027585185184,26.68210592962454,3.967806105272109,6.950691578628118,9.857416776666666,3.755441260285714,3.1882292650094697,7.999785906190476,11.976840409027778,23.11003559607143,3.3732698313888894,1.7159018715601393,,,2.416990991774892,3.313720358923652,,
AB-05DA007,1.3646684659438777,1.041792030099715,1.305201382648448,1.3350842930201468,1.1249662781001986,1.4298734156622022,1.0046004261026715,1.3414779380612245,1.102485888540404,1.3547026362745096,1.2078828719597068,0.9697057584309524,1.2753310024902944,0.9460106497180448,1.1633184611607144,0.9063380579393936,1.2101501104994628,1.1775427568467642,1.1444549952232144,0.9702806122672064,1.4168000072222224,1.1076610415,1.1602127840252978,1.4176648741206248,1.1029623409391531,1.0504523376190475,1.0924010720300752,1.2761236145467838,2.0043940958333333,1.393119059940476,0.9089148340091036,1.5365666659771826,1.211452459563492,1.214487477142857,1.3549488827210885,1.3841112497777777,1.595893664802573,,,1.126663055149591,1.015000039970238,,
AB-05DA009,11.669384889616405,9.700419120656566,11.711598026062466,10.505476333531746,11.089131620308123,13.90375929135338,10.803214399404762,12.465490203431372,10.592182938326586,13.149898977525254,8.971496196022727,8.827963953982016,8.38355431647207,8.620439879244307,9.125363378696742,7.813500874977955,8.935319954629628,10.10263158635478,11.031597251805556,8.848397773170479,13.428634485353538,9.546426583467325,9.665194580933484,11.227688552876984,9.430562514553571,9.08695890994152,9.772892795873016,11.935748300510202,12.666700784353742,10.628897636992946,9.19651255812325,9.664935045129871,9.686098687573098,10.830090055423282,9.668080336458331,10.67706728499622,12.938930474891066,8.179613032738095,,9.801999040525793,10.126751053224208,,
