,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB-05AA008,16.380000000000003,12.280000000000001,19.36,13.08,10.0,9.782000000000004,9.314000000000004,14.540000000000003,10.58,9.036000000000001,15.400000000000006,16.96,24.420000000000005,7.774000000000001,16.380000000000003,12.5,17.84000000000001,21.62000000000001,20.720000000000006,15.58,14.280000000000008,10.160000000000002,7.92,33.70000000000001,13.880000000000006,7.188000000000001,19.000000000000007,16.240000000000002,17.580000000000005,15.40000000000001,8.738,15.0,24.48,20.220000000000006,18.48,24.20000000000001,12.200000000000014,8.994,23.840000000000003,18.800000000000004
AB-05AA023,39.76000000000003,42.760000000000005,72.70000000000002,47.52000000000001,29.48000000000001,29.220000000000006,30.22000000000001,52.12000000000001,29.880000000000017,24.28,41.980000000000004,62.300000000000026,78.26000000000002,29.680000000000014,75.24000000000004,32.300000000000004,71.46000000000004,68.18,53.000000000000014,75.14000000000004,37.3,20.36,21.680000000000007,99.86000000000001,48.920000000000016,27.18,81.30000000000004,38.42,41.400000000000006,55.78000000000002,,,,,,,,,,
AB-05AD003,63.18000000000001,73.46000000000001,68.84,87.42,60.08000000000001,57.000000000000014,60.12000000000002,58.96000000000002,59.66000000000002,51.98000000000002,66.60000000000005,69.22000000000003,92.48,35.760000000000005,53.160000000000004,48.52000000000001,91.66000000000003,66.68,101.0,67.76,77.30000000000001,47.82,51.8,125.60000000000002,59.24000000000001,48.74000000000001,57.18000000000001,85.4,58.260000000000005,91.98,55.74,69.92,91.84,71.46000000000001,69.56,86.46000000000001,50.780000000000044,,,
AB-05AD005,26.980000000000008,31.18,29.380000000000003,32.88,22.14,21.400000000000006,24.380000000000003,22.340000000000003,23.64,19.580000000000002,31.42000000000001,27.380000000000003,39.16000000000001,14.400000000000002,23.20000000000001,21.760000000000005,49.78,31.46000000000001,45.760000000000026,34.160000000000004,37.520000000000024,20.86,22.28,56.10000000000004,26.680000000000007,23.98,26.760000000000005,34.540000000000006,21.980000000000008,35.14,26.560000000000002,39.90000000000002,53.18000000000001,38.440000000000005,29.300000000000004,37.74000000000002,23.1,,,
AB-05BA002,,,,,,,15.920000000000005,32.12000000000002,17.940000000000015,18.380000000000003,16.6,27.9,25.98,17.580000000000002,13.760000000000002,18.080000000000002,20.86,22.78,24.6,19.86,22.260000000000005,22.16,16.1,25.260000000000005,21.820000000000004,22.300000000000004,18.500000000000007,17.98,24.28,20.360000000000028,13.240000000000004,17.0,25.64,31.360000000000007,26.78,23.920000000000005,,,,
AB-05BB001,107.60000000000002,129.60000000000002,160.40000000000003,141.0,103.80000000000001,103.60000000000002,99.28,170.60000000000002,103.60000000000002,111.0,103.80000000000001,160.8,159.80000000000013,106.80000000000001,93.06000000000003,110.80000000000001,150.0,148.0,152.20000000000016,97.72,128.8,121.0,89.12,139.8,133.0,123.00000000000006,116.0,113.60000000000002,143.8,117.80000000000001,91.18,91.06,138.0,185.20000000000005,135.40000000000003,137.0,94.78,78.48,,132.0
AB-05BL022,6.305999999999999,8.898,13.040000000000003,7.022000000000001,5.498000000000003,5.69,6.988000000000001,9.326000000000006,4.7120000000000015,5.0360000000000005,6.360000000000001,11.380000000000003,12.2,5.4780000000000015,11.280000000000001,5.166,12.580000000000005,9.874000000000006,10.214000000000011,12.400000000000006,6.328000000000001,3.8599999999999994,3.9460000000000015,15.780000000000001,6.75,5.922000000000001,13.10000000000002,6.846000000000002,7.508000000000002,11.260000000000002,6.336000000000002,7.868,14.540000000000003,10.280000000000001,10.760000000000002,10.280000000000001,5.5400000000000045,,,
AB-05DA007,20.98,19.960000000000008,23.940000000000005,25.199999999999996,21.740000000000006,25.14,20.580000000000002,22.16,20.240000000000006,19.28,21.5,24.46,25.86,21.020000000000003,17.68,20.98,21.6,22.36,21.380000000000003,22.68,23.080000000000002,22.78,18.5,27.86,20.300000000000004,22.18,19.380000000000003,21.199999999999996,28.70000000000001,20.480000000000008,19.36,18.76,20.080000000000002,25.28,21.920000000000005,23.0,21.199999999999996,,,
AB-05DA009,186.60000000000002,164.60000000000002,225.8,214.60000000000002,178.8,209.8,191.60000000000002,188.8,189.60000000000008,174.8,200.8,217.0,211.60000000000002,181.0,146.0,185.60000000000002,186.0,187.0,186.0,216.40000000000003,209.0,192.8,170.0,226.60000000000008,177.0,195.60000000000002,165.8,193.0,239.8,174.0,165.60000000000002,157.0,155.00000000000006,220.20000000000005,188.8,190.60000000000002,196.60000000000002,166.60000000000002,,
AB-05DA010,2.576000000000004,1.1340000000000003,2.0140000000000002,2.320000000000001,1.1980000000000002,1.6880000000000006,1.3740000000000003,2.0720000000000005,1.3980000000000001,1.4700000000000006,1.7700000000000007,2.2040000000000015,2.144,1.6560000000000001,1.3980000000000001,1.39,1.5900000000000003,1.7160000000000002,1.6440000000000003,1.4380000000000002,2.316000000000001,2.424000000000001,1.3960000000000001,2.8480000000000003,1.79,1.7880000000000003,1.3560000000000003,1.5660000000000003,1.9140000000000004,1.6440000000000008,1.2280000000000002,1.5540000000000003,2.148,2.8940000000000015,1.8120000000000007,2.088,1.5340000000000003,1.118,,
AB-07AA001,41.86000000000001,31.699999999999996,34.66000000000004,52.080000000000005,27.760000000000005,43.960000000000036,40.040000000000006,50.860000000000014,40.06000000000001,30.4,40.460000000000036,55.14,54.82000000000002,42.89999999999999,34.28,41.660000000000004,38.98000000000002,48.18000000000001,54.22,30.96,49.84000000000001,40.58000000000001,35.88,52.32,44.10000000000001,34.46000000000001,32.160000000000004,37.78000000000003,50.64000000000001,39.72,35.480000000000004,38.06000000000002,48.02000000000001,70.08000000000001,38.06,41.480000000000004,48.400000000000034,,,
AB-07AA002,271.00000000000006,215.00000000000006,283.0,369.40000000000003,240.8,309.40000000000003,244.60000000000002,322.2000000000002,277.20000000000005,234.20000000000005,292.80000000000007,347.0,388.40000000000003,297.6000000000001,219.20000000000005,276.0,292.8,298.4000000000002,313.8,238.0,342.40000000000003,280.40000000000003,238.60000000000002,368.20000000000005,279.40000000000003,278.40000000000003,245.0,265.40000000000003,337.8,255.00000000000006,244.60000000000002,247.8,265.40000000000003,428.80000000000007,284.40000000000026,274.6,327.6,221.60000000000002,,269.00000000000006
AB-07CD001,335.00000000000017,243.20000000000005,161.20000000000005,229.8,174.60000000000002,228.0000000000001,369.2000000000001,238.0000000000001,238.2000000000001,206.0000000000001,242.8,350.40000000000003,248.20000000000005,164.8,147.40000000000003,255.0,277.40000000000015,344.8,296.8,160.8,115.80000000000001,138.0,184.8,177.4000000000001,235.00000000000006,289.00000000000006,424.6000000000001,240.0,343.0,298.6000000000001,304.8,199.8,232.8,227.60000000000002,605.0,406.4000000000002,129.0,265.8,251.80000000000007,272.00000000000006
