SID,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AB-05AA008,0.92000002,1.01,1.39,1.132,1.122,1.04,0.7465999939999999,1.65599998,0.842800024,0.848399996,0.912000028,1.402,1.51,1.202,1.0599999,1.144,0.958399996,1.58,1.17,0.951999988,1.01,0.806399992,0.779199978,0.82999998,1.056,0.95300001,1.712,1.69200008,1.402,1.1,0.95999998,0.95700002,1.032,1.14,1.114,1.25,1.94200008,1.55199998,1.22,1.05,0.745000018,,
AB-05AA023,1.7,1.55,2.36,1.11,0.992,1.554,1.41,1.96,1.6,1.332,1.31,1.972,2.1,2.0,2.06,2.102,1.592,2.28,1.9,1.202,2.26,1.452,1.06,1.142,2.13,1.722,3.6,2.604,2.324,1.764,,,,,,,,,,,,,
AB-05AD003,1.89,2.51,2.742,2.51,2.6540001,2.766,1.93199994,3.4200001,1.68399992,1.702,2.5619999,3.79,2.6099999,2.28,1.80400002,2.3319999,3.6660001,3.29,2.782,2.1300001,2.47,1.806,1.38,2.252,2.1800001,2.0819999,4.64199994,3.11399994,2.8,2.022,2.17600008,2.3399999,2.8139999,2.4400001,2.94400008,2.478,3.1400001,,,2.74,1.8200001,,
AB-05AD005,1.12,1.194,1.312,0.962,1.04,1.126,0.87,1.212,1.4,0.93,0.976,1.674,1.602,0.96,1.0,0.996,1.6,1.076,1.25,0.86,1.34,0.97,0.94,1.408,1.006,0.954,2.05,1.502,1.668,0.922,0.892,1.3,1.06,0.98,1.062,1.476,2.232,,,,,,
AB-05BA002,,,,,,,0.83,0.662,0.8119999999999999,0.67,0.75,0.89,0.9,1.122,0.76,0.922,0.66,0.872,0.962,0.78,0.54,0.9,0.574,0.62,0.68,0.74,0.81,0.922,0.96,0.79,0.792,0.76,0.67,0.82,0.952,0.67,,,,,,,
AB-05BB001,6.47599984,6.16199986,8.25200004,7.674000100000001,7.13200006,6.48600004,6.9719998400000005,7.17200012,7.81000014,6.508,7.33199994,8.52200034,7.384000100000001,8.09200024,6.649999940000001,8.575999840000001,6.8400002,7.95199984,8.035999839999999,7.69200004,7.581999959999999,8.8999996,6.86200006,6.1199999,6.853999900000001,8.3080002,9.0100002,8.5,8.70599974,7.384000100000001,7.5679999,7.05200014,7.6839998,7.468,6.65000008,7.60000014,8.7839998,8.4740002,,7.00200004,6.871999939999999,,
AB-05BL022,0.21699999,0.151199992,0.170799998,0.1084,0.1396,0.1211999999999999,0.1064,0.302199992,0.225999992,0.117,0.16,0.264199998,0.205,0.25,0.20999999,0.215,0.0920000032,0.1452,0.148400002,0.175,0.2164000059999999,0.193399998,0.0953999998,0.093000002,0.1572000099999999,0.1452,0.277000008,0.2,0.1972,0.136400008,0.136200006,0.188799992,0.1904,0.18000001,0.177,0.205,0.276799992,,,0.149,0.12,,
AB-05CA009,3.12599994,3.51,4.5,3.55599998,4.37599994,4.0999999,3.10999994,4.60999994,4.95999984,2.80999998,3.85199994,4.3000002,4.4000001,5.364000099999999,4.14599994,5.6580001,4.21999988,3.8339999,3.53199998,4.21999988,4.6999998,3.78,3.29,3.5919999,4.3000002,4.0,4.2039998,5.0,5.56000014,4.96,4.3640001,4.37599994,4.9400001,4.99599984,4.79399998,4.165999859999999,2.6400001,,,4.8600001,4.1700001,,
AB-05DA007,0.575999988,0.39079999,0.5011999859999999,0.52099998,0.58499998,0.60000002,0.536000028,0.54580002,0.47,0.383199992,0.5201999900000001,0.5684000140000001,0.532600014,0.712400022,0.496,0.57999998,0.51999998,0.640999988,0.63200003,0.62,0.6026000140000001,0.5426000040000001,0.40140001,0.4768000059999999,0.53919998,0.65399998,0.636599994,0.56,0.55000001,0.56,0.5701999879999999,0.56,0.50300002,0.705600002,0.65200001,0.630200016,0.750600018,,,0.7606000039999999,0.531200018,,
AB-05DA009,4.842000140000001,4.48,5.1999998000000005,4.4000001,4.41199986,4.75,4.56999994,4.01400002,4.90200004,3.6119999,4.77,5.234,5.0999999,5.6839998000000005,4.02,4.25,4.0999999,5.66199986,4.8000002,4.61399994,4.3000002,5.41000004,4.5,3.702,4.8000002,4.5999999,5.1199999,4.86200006,5.38200006,4.0999999,4.523999999999999,4.31199996,4.592000140000001,4.64399988,5.218,4.4499998,5.50600004,5.34200014,,5.333999899999999,4.27,,
AB-05DA010,0.0301999989999999,0.034000002,0.039999999,0.0262000009999999,0.0351999996,0.0282000006,0.029999999,0.032000002,0.043000001,0.0452000016,0.039999999,0.045000002,0.050999999,0.048999999,0.039999999,0.039000001,0.023,0.039999999,0.026000001,0.044,0.037,0.056000002,0.030999999,0.027000001,0.028999999,0.027000001,0.0262000009999999,0.032000002,0.02,0.017999999,0.023,0.029999999,0.0070000002,0.0303999995999999,0.0232,0.025,0.0080000004,0.023,,0.07,0.067000002,,
AB-06AD006,4.60999994,2.9400001,2.25,1.32200008,1.92400002,1.972,0.99000001,1.512,1.284,0.862000008,1.67400002,1.2,0.696999988,0.778199986,0.411999998,1.53,1.57200008,1.164,6.1399999,1.772,0.8298000099999999,0.501599994,0.8794000040000001,0.8386000140000001,0.134200002,1.92199998,3.712,2.8599999,2.4720000000000004,2.71,0.96279998,0.41600001,1.772,1.258,2.8199999,2.2,1.452,1.9400001,4.33599994,5.17200004,5.404000099999999,6.1199999,
AB-07AA001,0.4683999919999999,0.471999998,0.85100002,0.641999988,0.826999988,0.79000002,0.7558,0.6553999779999999,0.574,0.700199988,0.7397999900000001,1.03,0.800200008,1.082,0.6392000059999999,0.785200014,0.78880001,0.825200006,0.836399986,1.05,1.12,0.8983999960000001,0.66780001,0.64200002,0.703999998,0.66180003,1.12,0.820000008,0.925600002,0.766999982,0.6306000039999999,0.763200008,0.794400024,0.835400006,0.965999982,0.8019999900000001,1.332,,,0.828600002,0.855200018,,
AB-07AA002,10.14,8.92999972,11.0,8.8000002,9.02000008,9.89600026,9.60200026,9.90199964,9.0879999,9.75199988,9.11200028,10.22,11.92,12.6,8.860000240000002,10.82,10.3,10.42,9.82599984,12.1,9.92799984,10.3,9.50599994,9.2240002,8.71999988,10.12,11.9,11.3,10.52,8.5,9.34200024,9.9899998,10.4,10.5,10.7,9.53199976,13.3,12.0,,8.6700001,10.52,11.62,
