,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB-05AA008,11.467,9.482333333333335,15.57,12.453999999999999,8.442333333333334,9.931999999999999,7.7299999999999995,13.188,6.078333333333334,8.793,13.373666666666663,17.103333333333335,20.54666666666667,6.504333333333335,14.306333333333335,8.770333333333335,24.209999999999997,21.620000000000005,16.84933333333333,14.46,13.391666666666667,9.152666666666669,7.593,33.78333333333334,12.366666666666669,7.052333333333333,22.43,14.195666666666666,15.851666666666667,12.456333333333331,8.220666666666668,16.43666666666667,25.689999999999998,19.223333333333333,21.67833333333333,22.19333333333333,12.498666666666669,6.535333333333332,14.991999999999997,7.939333333333333
AB-05AA023,30.123333333333328,34.04,54.03999999999999,50.80333333333333,21.73333333333333,28.389999999999997,23.184000000000005,39.46,11.392000000000001,23.452666666666662,35.13333333333333,61.35,71.69000000000001,15.402666666666665,69.54666666666664,26.15333333333333,108.73333333333336,69.19333333333334,46.583333333333336,69.80333333333334,35.21666666666667,18.50333333333333,21.68999999999999,103.77666666666667,38.699999999999996,22.6,108.26333333333332,40.44333333333334,34.63333333333333,47.123333333333335,,,,,,,,,,
AB-05AD003,56.73000000000001,55.973333333333336,59.45666666666668,84.73999999999998,52.016666666666666,56.89333333333334,50.38333333333333,58.19666666666665,32.986666666666665,39.34,65.50333333333332,67.49666666666668,91.18,30.633333333333333,40.76666666666666,36.739999999999995,121.88666666666663,80.19333333333334,93.00666666666666,61.87333333333333,73.35333333333332,45.55666666666668,51.843333333333334,129.96,57.38666666666666,48.87000000000001,67.89333333333333,71.61999999999999,53.21333333333333,83.30333333333333,55.02333333333334,79.82,87.85999999999997,73.97666666666667,67.36333333333334,98.89666666666669,49.456666666666656,,,
AB-05AD005,23.44,25.410000000000004,24.466666666666672,32.99,19.810000000000002,21.32333333333333,20.949999999999996,21.973333333333336,14.202666666666667,15.54,29.64,26.106666666666673,38.14666666666667,12.850333333333333,18.643333333333334,17.336666666666666,58.56000000000001,36.39666666666667,42.95333333333333,36.84333333333335,32.54333333333334,19.676666666666666,22.333333333333336,58.056666666666665,24.796666666666667,21.826666666666654,33.123333333333335,31.76000000000001,19.060000000000006,29.913333333333334,21.88333333333333,42.589999999999996,50.36666666666666,35.839999999999996,29.773333333333333,45.41666666666667,25.659999999999993,,,
AB-05BA002,,,,,,,13.867666666666667,33.013333333333335,16.247,21.330000000000002,19.680000000000007,27.14,24.19,18.249999999999996,11.549,17.366666666666667,20.403333333333332,21.243666666666666,26.44333333333333,15.966666666666669,20.896666666666665,20.032,14.541333333333338,25.56666666666667,20.793333333333333,21.467999999999996,18.213333333333335,16.906666666666666,27.80333333333334,18.61,13.676333333333334,14.802666666666669,24.17333333333333,32.91333333333334,32.47333333333333,23.489999999999995,,,,
AB-05BB001,104.76333333333332,120.28000000000002,97.96666666666667,136.29,98.92333333333335,108.24,87.7,185.93333333333334,96.06666666666668,118.19666666666666,124.66333333333334,161.43333333333334,137.24666666666664,106.60666666666665,78.45333333333333,108.85666666666665,158.5,139.82999999999998,153.59000000000003,92.58999999999999,109.91666666666667,101.33666666666667,83.35333333333332,144.27333333333334,129.61,111.39333333333335,117.69333333333333,107.18333333333332,161.33333333333334,106.93333333333334,95.90666666666667,83.64,135.17666666666668,176.15,163.66,136.39333333333335,100.69666666666667,71.53,,116.36333333333333
AB-05BL022,6.242333333333334,7.490999999999999,11.097000000000003,7.787666666666667,4.332,5.647333333333333,4.546333333333334,7.0249999999999995,1.8983333333333332,4.401333333333333,5.773999999999999,11.315000000000001,11.365999999999998,4.150333333333332,10.371333333333332,4.354,19.057333333333336,10.957333333333334,10.400666666666666,11.348333333333333,6.4143333333333326,3.9179999999999997,4.454333333333334,19.169999999999998,5.858,5.632999999999999,16.029,7.482666666666668,6.877333333333335,9.844666666666667,5.695999999999998,9.469000000000001,13.770999999999999,12.422333333333333,27.908666666666665,12.783333333333335,4.898999999999999,,,
AB-05DA007,15.802666666666669,17.985,10.570333333333329,19.317,13.82333333333333,14.169666666666666,12.501666666666665,23.243333333333332,16.334333333333333,19.199333333333335,17.393000000000004,17.55333333333333,16.610000000000003,19.83666666666667,13.819333333333333,13.656333333333333,18.686666666666664,15.741666666666667,17.805666666666664,14.785000000000002,12.538333333333332,10.123999999999999,10.802000000000003,20.865333333333332,18.076666666666668,16.342333333333336,16.16466666666667,17.306666666666665,20.226666666666674,14.43966666666667,13.890000000000002,11.374666666666666,16.326,20.044333333333338,18.632333333333335,17.106666666666666,18.62333333333333,,,
AB-05DA009,119.32999999999998,147.97333333333333,87.71333333333335,164.88,112.41333333333334,124.81333333333332,94.36333333333336,192.36666666666667,149.75666666666666,157.98333333333332,139.94000000000003,137.47,125.04666666666667,168.82666666666668,111.88000000000001,115.12666666666668,156.0,132.60666666666665,152.18333333333334,127.15,112.51666666666667,88.57000000000001,88.02333333333335,160.86666666666667,138.33333333333334,127.27333333333334,130.5066666666667,144.13333333333333,169.76666666666668,114.07,115.85333333333332,96.98666666666666,129.85333333333332,160.33333333333334,148.06,140.61,164.7,103.39666666666669,,
AB-05DA010,1.7843333333333335,1.3419999999999999,0.6836666666666669,1.9226666666666667,0.9523333333333335,1.1633333333333333,0.9266666666666669,1.9446666666666668,1.3866666666666665,1.7033333333333338,1.4626666666666668,1.7393333333333332,1.3633333333333333,1.6849999999999998,1.0296666666666665,1.2473333333333332,1.5523333333333336,1.181666666666667,1.5870000000000004,1.22,0.9723333333333333,0.8893333333333332,1.0196666666666665,2.4963333333333333,1.6416666666666664,1.3066666666666664,1.2516666666666663,1.7449999999999999,1.4206666666666667,1.3976666666666666,1.1333333333333335,1.082,2.0089999999999995,2.3540000000000005,1.9393333333333331,1.3659999999999997,1.2766666666666666,0.9416666666666663,,
