,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
03-16,-0.0018394999999999846,3.913040999999969,0.3269611565809418,-0.0,39.0,-0.078,-0.282,0.273,0.195
03-17,-0.0027134705882352933,5.662064235294116,0.22633096369362882,-0.0,39.0,-0.114,-0.384,0.292,0.178
03-18,-0.002572727272727267,5.37519909090908,0.22633096369362882,-0.0,39.0,-0.108,-0.14,0.284,0.176
03-19,-0.004244999999999992,8.730549999999983,0.03425071664250301,-2.0,39.0,-0.179,-0.327,0.33,0.151
03-20,-0.004320466666666666,8.880766399999997,0.040902099466055164,-2.0,39.0,-0.182,-0.605,0.331,0.149
03-21,-0.0035042058823529405,7.232048352941176,0.10232699303109394,-0.0,39.0,-0.147,-0.474,0.297,0.15
03-22,-0.0035449473684210525,7.308638842105263,0.04196545745052194,-2.0,39.0,-0.149,-0.325,0.293,0.144
03-23,-0.0035291764705882357,7.280524588235295,0.055845566146635495,-1.0,39.0,-0.148,-0.098,0.296,0.148
03-24,-0.0031028928571428566,6.442959928571428,0.06243539313863633,-1.0,39.0,-0.13,-0.242,0.302,0.172
03-25,-0.0030245624999999995,6.280795874999999,0.09978488899738935,-1.0,39.0,-0.127,-0.281,0.295,0.168
03-26,-0.003183749999999999,6.593192499999998,0.09739107374194966,-1.0,39.0,-0.134,-0.334,0.293,0.159
03-27,-0.003537500000000013,7.325455000000026,0.15333535238160545,-0.0,39.0,-0.149,-0.367,0.325,0.176
03-28,-0.003171551724137935,6.588630344827594,0.11295764197988234,-0.0,39.0,-0.133,-0.364,0.312,0.179
03-29,-0.004312380952380952,8.838009142857143,0.025194147561877767,-2.0,39.0,-0.181,-0.542,0.304,0.123
03-30,-0.002830000000000008,5.900550000000015,0.14318220751962074,-0.0,39.0,-0.119,-0.231,0.3,0.181
03-31,-0.0016647058823529375,3.569462352941169,0.4980106259437247,-0.0,39.0,-0.07,-0.144,0.275,0.205
04-01,-0.0028719259259259227,5.984600999999993,0.22633096369362882,-0.0,39.0,-0.121,-0.278,0.301,0.18
04-02,-0.0025155555555555456,5.26945999999998,0.23566238606195355,-0.0,39.0,-0.105,-0.211,0.291,0.186
04-03,-0.004573279999999996,9.377963439999993,0.08574941076750853,-1.0,39.0,-0.192,-0.339,0.327,0.135
04-04,-0.00471666666666667,9.653130000000008,0.045856198258758196,-2.0,39.0,-0.198,-0.535,0.319,0.121
04-05,-0.0028771666666666694,5.980639000000005,0.06408481323059267,-1.0,39.0,-0.121,-0.358,0.287,0.166
04-06,-0.002447567567567567,5.122299999999999,0.1641520130868983,-0.0,39.0,-0.103,-0.326,0.279,0.176
04-07,-0.0019149666666666695,4.048258400000006,0.2171799520514981,-0.0,39.0,-0.081,-0.253,0.259,0.178
04-08,-0.002198692307692316,4.627877230769247,0.15679855689969813,-0.0,39.0,-0.093,-0.294,0.277,0.184
04-09,-0.0010753999999999985,2.3976891999999967,0.6196665846907419,-0.0,39.0,-0.045,-0.151,0.269,0.224
04-10,-7.648648648648046e-06,0.2671519999999988,0.9421111650628937,-0.0,39.0,0.0,0.0,0.252,0.252
04-11,-0.0011755384615384544,2.603425846153832,0.5056850127527137,-0.0,39.0,-0.049,-0.126,0.277,0.228
04-12,-0.0019071739130434831,4.068063478260879,0.3970480653628159,-0.0,39.0,-0.08,-0.177,0.294,0.214
04-13,-0.0018677999999999807,3.9899603999999615,0.46038358886928976,-0.0,39.0,-0.079,-0.242,0.294,0.215
04-14,-0.0001073448275862061,0.46917496551723975,0.9710442773457328,-0.0,39.0,-0.005,-0.008,0.257,0.252
04-15,0.000943333333333333,-1.6385699999999996,0.7347890245575595,0.0,39.0,0.04,0.059,0.228,0.268
04-16,0.0002830000000000076,-0.3282800000000151,0.846506098857017,0.0,39.0,0.012,0.034,0.232,0.244
04-17,-0.0002964761904761949,0.8348904285714374,0.9228938445738832,-0.0,39.0,-0.012,-0.038,0.248,0.236
04-18,0.001572222222222211,-2.8950899999999775,0.6028155280377603,0.0,39.0,0.066,0.165,0.216,0.282
04-19,0.00195270000000001,-3.6581146000000198,0.41067421751355804,0.0,39.0,0.082,0.229,0.206,0.288
04-20,0.0010612499999999997,-1.8925624999999995,0.5696312813560227,0.0,39.0,0.044,0.095,0.208,0.252
04-21,0.0008489999999999997,-1.4670719999999995,0.6456967970695893,0.0,39.0,0.036,0.067,0.213,0.249
04-22,0.0006917777777777788,-1.1274720000000023,0.7347516582607161,0.0,39.0,0.029,0.076,0.242,0.271
04-23,0.002075333333333338,-3.8855900000000094,0.40370054033799385,0.0,39.0,0.088,0.264,0.221,0.309
04-24,0.001955272727272717,-3.6689149090908884,0.28702049480199987,0.0,39.0,0.082,0.208,0.201,0.283
04-25,2.5727272727273226e-05,0.16367690909090807,0.9710442773457328,0.0,39.0,0.001,0.003,0.215,0.216
04-26,-0.00032342857142856577,0.8839302857142743,0.8654969645619266,-0.0,39.0,-0.014,-0.043,0.244,0.23
04-27,0.0001286363636363674,-0.022125454545462053,0.9421309054651128,0.0,39.0,0.006,0.012,0.232,0.238
04-28,-0.0001991481481481448,0.6469379999999934,0.9614017847962728,-0.0,39.0,-0.009,-0.016,0.253,0.244
04-29,-0.00017687499999999995,0.6335662499999999,0.9324926587977826,-0.0,39.0,-0.008,-0.019,0.284,0.276
04-30,0.002627857142857138,-4.987268571428562,0.46788868139616513,0.0,39.0,0.111,0.2,0.213,0.324
05-01,0.0,0.28017,0.9710400391997873,0.0,39.0,0.0,0.0,0.28,0.28
05-02,0.0010612499999999988,-1.8685074999999978,0.7347516582607161,0.0,39.0,0.044,0.048,0.232,0.276
05-03,0.0017294444444444482,-3.1936550000000072,0.6456967970695893,0.0,39.0,0.073,0.145,0.229,0.302
05-04,-0.0014433000000000113,3.1610534000000223,0.680813077122659,-0.0,39.0,-0.061,-0.124,0.305,0.244
05-05,0.00038590909090908786,-0.5163463636363574,0.8845490391916935,0.0,39.0,0.017,0.014,0.247,0.264
05-06,0.0022526800000000004,-4.220684640000001,0.49037859271896367,0.0,39.0,0.095,0.056,0.237,0.332
05-07,0.0021755625000000004,-4.063773875000001,0.42441606757568007,0.0,39.0,0.091,0.039,0.242,0.333
05-08,0.0013317647058823526,-2.390883882352941,0.6897266834777911,0.0,39.0,0.056,0.062,0.245,0.301
05-09,0.0012318823529411823,-2.186790941176482,0.7256736257894001,0.0,39.0,0.052,0.054,0.251,0.303
05-10,0.0016036666666666667,-2.945181,0.5532635344721903,0.0,39.0,0.068,0.099,0.228,0.296
05-11,0.0021308235294117666,-3.9460854117647095,0.6198374921000149,0.0,39.0,0.089,0.097,0.271,0.36
05-12,0.0021769230769230763,-4.038192307692307,0.5056642391576571,0.0,39.0,0.091,0.101,0.27,0.361
05-13,0.005562413793103449,-10.80240275862069,0.23088306060273145,0.0,39.0,0.233,0.528,0.206,0.439
05-14,0.0020753333333333253,-3.8352159999999844,0.6543192153172535,0.0,39.0,0.087,0.177,0.272,0.359
05-15,0.0004716666666666665,-0.6673139999999997,0.7165823600480947,0.0,39.0,0.02,0.036,0.266,0.286
05-16,0.0010290909090909088,-1.8325536363636359,0.7900781609727408,0.0,39.0,0.043,0.072,0.204,0.247
05-17,-0.0012734999999999997,2.8161329999999993,0.6197691567082435,-0.0,39.0,-0.054,-0.073,0.296,0.242
05-18,-0.0021769230769230763,4.580703307692307,0.5291839171705979,-0.0,39.0,-0.092,-0.131,0.273,0.181
05-19,-0.001650833333333335,3.5457070000000033,0.6631624184793212,-0.0,39.0,-0.07,-0.081,0.279,0.209
05-20,0.0014596842105263162,-2.6359960526315795,0.7075424977460631,0.0,39.0,0.061,0.038,0.253,0.314
05-21,-0.0005093999999999987,1.3007811999999974,0.8941183952111522,-0.0,39.0,-0.022,-0.026,0.293,0.271
05-22,-0.0007074999999999929,1.6654549999999857,0.7439044259558287,-0.0,39.0,-0.029,-0.02,0.265,0.236
