,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
02-25,0.022857707682829888,-44.98112881413553,4.2549969871963356e-06,3.0,40.0,0.96,0.778,0.254,1.214
02-26,0.023412279868421048,-46.08044129203946,5.1940783674098157e-08,3.0,40.0,0.984,0.648,0.252,1.236
02-27,0.02321372615686275,-45.689131719490206,5.506691813650377e-08,3.0,40.0,0.975,0.49,0.251,1.226
02-28,0.023944443333333332,-47.141470016666666,1.0712806508550443e-07,3.0,40.0,1.005,0.537,0.245,1.25
03-01,0.023924602976190475,-47.05531905791667,4.081894469099012e-07,3.0,40.0,1.005,0.618,0.291,1.296
03-02,0.022156863725490198,-43.49849218039216,2.2377080033386676e-07,3.0,40.0,0.931,0.595,0.35,1.281
03-03,0.022469166441666667,-44.163629138670835,8.679736964722906e-07,3.0,40.0,0.944,0.617,0.303,1.247
03-04,0.0231358543977591,-45.57050501392156,5.435403811482331e-07,3.0,40.0,0.972,0.673,0.215,1.187
03-05,0.022737852167519182,-44.75859755678708,1.914953018378185e-07,3.0,40.0,0.955,0.683,0.24,1.195
03-06,0.02058705238839286,-40.35472418820313,1.4917052446605794e-06,3.0,40.0,0.865,0.592,0.387,1.252
03-07,0.01911428585714286,-37.3829003155,1.4222929713536558e-05,3.0,40.0,0.803,0.484,0.444,1.247
03-08,0.02007142857142857,-39.264250014999995,4.065066715241983e-06,3.0,40.0,0.843,0.526,0.457,1.3
03-09,0.021851648879120878,-42.776520294923074,5.887743071530949e-06,3.0,40.0,0.918,0.593,0.468,1.386
03-10,0.02335417479166666,-45.82531833114582,1.7821728044431495e-06,3.0,40.0,0.98,0.659,0.393,1.373
03-11,0.023280092222222225,-45.70026428611112,1.44353274844633e-06,3.0,40.0,0.978,0.688,0.371,1.349
03-12,0.02250000208333334,-44.015754203541675,3.144624673545593e-06,3.0,40.0,0.945,0.64,0.512,1.457
03-13,0.022083333333333333,-43.137541666666664,0.0008499684422873521,3.0,40.0,0.928,0.458,0.565,1.493
03-14,0.023601905656891492,-46.15040846029765,2.2232309147218743e-05,3.0,40.0,0.991,0.363,0.558,1.549
03-15,0.027722223657407407,-54.2628639793287,0.0013327306374344428,3.0,40.0,1.165,0.393,0.599,1.764
03-16,0.035618840246376814,-70.01425223238405,0.0020737412566320668,3.0,40.0,1.496,0.453,0.475,1.971
03-17,0.04417832167832168,-87.08037582412588,0.00030911160769941937,3.0,40.0,1.855,0.521,0.349,2.204
03-18,0.04861500025,-95.877077999625,0.0001032951516688474,3.0,40.0,2.042,0.568,0.332,2.374
03-19,0.05282222055555555,-104.32020778027777,6.788115996858579e-06,3.0,40.0,2.218,0.604,0.215,2.433
03-20,0.06468750833333334,-128.04798540416667,8.939286887610365e-06,3.0,40.0,2.716,0.726,-0.031,2.685
03-21,0.06735293950980392,-133.33484961034313,1.5021053241248694e-06,3.0,40.0,2.828,0.737,-0.043,2.785
03-22,0.07465934807692308,-147.89170713173078,4.7652712553691856e-07,3.0,40.0,3.136,0.796,-0.141,2.995
03-23,0.07086206896551725,-140.10784477758622,3.989801551340655e-05,3.0,40.0,2.976,0.647,0.128,3.104
03-24,0.06815217173913042,-134.55711522065212,1.0239604463446739e-05,3.0,40.0,2.862,0.532,0.316,3.178
03-25,0.0749230830769231,-147.6437815292308,6.222829165292154e-07,3.0,40.0,3.147,0.57,0.629,3.776
03-26,0.07460526289473685,-146.75361799513158,4.156936275201417e-07,3.0,40.0,3.134,0.508,0.89,4.024
03-27,0.08254102675641026,-162.0832419726859,8.589975035722119e-07,3.0,40.0,3.467,0.497,1.265,4.732
03-28,0.10542555348345589,-207.2429685866866,7.791946887714118e-08,3.0,40.0,4.428,0.54,1.394,5.822
03-29,0.10226514803030304,-200.86689833856062,1.963936879789685e-08,3.0,40.0,4.295,0.449,1.516,5.811
