Year,01-01,01-02,01-03,01-04,01-05,01-06,01-07,01-08,01-09,01-10,01-11,01-12,01-13,01-14,01-15,01-16,01-17,01-18,01-19,01-20,01-21,01-22,01-23,01-24,01-25,01-26,01-27,01-28,01-29,01-30,01-31,02-01,02-02,02-03,02-04,02-05,02-06,02-07,02-08,02-09,02-10,02-11,02-12,02-13,02-14,02-15,02-16,02-17,02-18,02-19,02-20,02-21,02-22,02-23,02-24,02-25,02-26,02-27,02-28,03-01,03-02,03-03,03-04,03-05,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,05-08,05-09,05-10,05-11,05-12,05-13,05-14,05-15,05-16,05-17,05-18,05-19,05-20,05-21,05-22,05-23,05-24,05-25,05-26,05-27,05-28,05-29,05-30,05-31,06-01,06-02,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21,06-22,06-23,06-24,06-25,06-26,06-27,06-28,06-29,06-30,07-01,07-02,07-03,07-04,07-05,07-06,07-07,07-08,07-09,07-10,07-11,07-12,07-13,07-14,07-15,07-16,07-17,07-18,07-19,07-20,07-21,07-22,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,08-02,08-03,08-04,08-05,08-06,08-07,08-08,08-09,08-10,08-11,08-12,08-13,08-14,08-15,08-16,08-17,08-18,08-19,08-20,08-21,08-22,08-23,08-24,08-25,08-26,08-27,08-28,08-29,08-30,08-31,09-01,09-02,09-03,09-04,09-05,09-06,09-07,09-08,09-09,09-10,09-11,09-12,09-13,09-14,09-15,09-16,09-17,09-18,09-19,09-20,09-21,09-22,09-23,09-24,09-25,09-26,09-27,09-28,09-29,09-30,10-01,10-02,10-03,10-04,10-05,10-06,10-07,10-08,10-09,10-10,10-11,10-12,10-13,10-14,10-15,10-16,10-17,10-18,10-19,10-20,10-21,10-22,10-23,10-24,10-25,10-26,10-27,10-28,10-29,10-30,10-31,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,11-11,11-12,11-13,11-14,11-15,11-16,11-17,11-18,11-19,11-20,11-21,11-22,11-23,11-24,11-25,11-26,11-27,11-28,11-29,11-30,12-01,12-02,12-03,12-04,12-05,12-06,12-07,12-08,12-09,12-10,12-11,12-12,12-13,12-14,12-15,12-16,12-17,12-18,12-19,12-20,12-21,12-22,12-23,12-24,12-25,12-26,12-27,12-28,12-29,12-30,12-31
1979,188.2,177.44,164.99,162.44,170.65,186.5,218.48,258.94,283.0,285.83,285.83,291.49,297.15,288.66,268.57,244.23,227.82,217.34,208.85,200.36,194.42,186.78,186.5,200.08,224.14,272.53,348.09,404.69,427.33,430.16,421.67,396.2,365.07,339.6,319.79,305.64,314.13,336.77,370.73,447.14,534.87,608.45,645.24,636.75,588.64,517.89,444.31,384.88,333.94,294.32,266.02,250.17,237.72,234.04,260.93,376.39,823.53,1279.16,1443.3,1446.13,1361.23,1231.05,1098.04,973.52,874.47,815.04,832.02,877.3,868.81,815.04,727.31,642.41,563.17,495.25,444.31,410.35,379.22,348.09,319.79,297.15,275.08,264.04,253.85,244.23,238.0,240.27,258.38,291.49,311.3,308.47,291.49,266.59,245.64,236.02,226.4,221.02,226.97,254.42,319.79,418.84,481.1,486.76,469.78,449.97,416.01,384.88,373.56,401.86,435.82,427.33,379.22,316.96,268.0,233.76,219.61,208.0,206.02,221.87,278.47,379.22,472.61,506.57,492.42,455.63,413.18,367.9,319.79,283.0,256.12,232.06,219.61,220.17,225.27,228.38,235.74,239.7,247.34,254.7,251.3,236.59,215.93,193.29,181.12,173.76,167.54,167.82,175.74,186.21,193.86,191.59,180.27,165.84,153.1,145.46,144.61,149.71,157.06,164.71,166.97,159.61,145.18,134.14,130.18,125.37,116.03,106.41,98.48,91.98,87.16,83.77,80.94,80.09,89.14,88.01,91.98,102.45,116.31,125.37,125.94,122.26,115.46,108.96,104.43,100.18,96.22,93.96,91.13,88.86,91.13,97.35,109.8,122.54,137.54,151.97,168.67,187.63,217.06,242.81,256.4,250.46,232.34,217.63,193.01,190.74,206.31,224.14,227.53,220.17,211.68,206.31,204.61,203.76,198.1,185.65,177.44,172.35,172.63,174.61,173.48,167.82,157.35,143.76,132.73,123.67,116.6,110.37,106.41,103.3,100.18,95.94,90.28,85.75,82.35,79.52,78.67,81.22,88.3,101.03,112.35,127.35,141.78,154.24,161.31,162.44,152.82,143.2,133.86,125.94,119.71,112.35,103.3,94.24,86.88,81.79,78.39,81.79,86.03,93.11,104.99,121.41,128.2,127.63,130.18,138.1,147.16,153.1,156.5,159.89,166.4,183.38,197.25,208.29,234.89,314.13,373.56,418.84,427.33,404.69,362.24,311.3,263.76,215.36,178.57,153.39,136.97,126.22,118.58,113.48,108.67,104.71,101.31,98.48,96.79,95.09,93.67,92.82,91.69,90.56,89.99,89.43,88.86,88.3,87.45,86.32,85.47,85.75,86.32,89.14,96.79,104.14,106.97,103.58,98.48,95.37,96.22,99.9,107.82,118.01,127.35,135.27,136.69,132.44,123.67,115.75,108.67,103.58,99.9,99.33,104.14,114.9,126.78,142.07,158.48,179.99,203.48,222.72,223.57,207.16,184.8,165.56,152.25,142.92,140.37,144.9,153.67,162.44,168.38,170.65,168.67,166.12,167.25,176.03,189.04,197.25,195.27,186.78,175.74,164.99,157.35,150.84,149.42,152.25,157.35,160.18,158.2
1980,152.82,147.44,144.9,146.03,145.46,144.05,143.2,146.31,149.42,150.84,155.93,161.03,164.71,168.38,173.76,181.4,186.78,186.78,178.86,168.67,163.29,165.56,182.82,195.27,204.89,225.27,257.53,299.98,345.26,370.73,382.05,379.22,356.58,325.45,297.15,283.0,277.62,265.17,245.93,227.82,223.57,217.34,210.84,205.46,204.61,204.61,201.21,194.7,186.78,179.42,173.76,168.67,163.29,157.63,155.65,154.8,156.78,160.18,161.03,156.5,153.39,148.57,148.29,153.95,164.99,176.03,184.8,204.61,234.32,356.58,721.65,956.54,1001.82,967.86,976.35,1024.46,1049.93,1004.65,933.9,863.15,800.89,758.44,710.33,648.07,582.98,526.38,486.76,466.95,469.78,481.1,551.85,730.14,908.43,984.84,973.52,928.24,916.92,931.07,911.26,834.85,747.12,690.52,662.22,650.9,619.77,611.28,670.71,758.44,786.74,752.78,682.03,605.62,537.7,481.1,430.16,384.88,348.09,288.66,297.15,311.3,333.94,367.9,339.6,325.45,297.15,283.0,274.51,263.19,249.04,240.55,229.23,234.89,249.04,240.55,232.06,220.74,209.42,203.76,203.76,212.25,220.74,240.55,263.19,294.32,345.26,387.71,418.84,435.82,435.82,410.35,367.9,325.45,288.66,254.7,222.16,194.7,170.08,152.25,139.24,129.33,120.56,114.62,109.8,105.28,100.75,97.07,93.67,90.84,89.43,88.86,89.99,92.26,99.62,112.35,118.86,125.09,135.84,148.57,159.89,181.4,211.97,241.4,246.78,230.36,202.34,172.06,145.18,123.67,109.52,99.62,92.82,88.3,84.33,81.22,78.39,74.99,72.45,71.6,71.03,72.73,74.43,78.39,85.18,89.43,92.26,92.82,93.39,92.82,89.14,88.01,91.69,98.2,103.3,102.16,96.79,91.41,85.18,78.39,73.3,70.18,68.77,69.05,68.2,69.33,69.33,71.03,79.24,90.28,97.07,100.75,99.33,92.54,86.32,81.79,76.41,72.45,69.9,67.35,64.81,62.54,62.54,64.24,65.94,67.92,67.07,65.37,64.52,63.68,62.54,61.69,61.13,60.0,58.86,58.02,58.02,58.3,58.02,57.17,56.03,56.03,62.54,74.71,84.05,89.43,93.11,95.65,92.82,87.16,81.22,75.84,71.88,69.33,72.45,80.66,92.26,101.03,103.01,98.2,89.43,81.5,75.84,72.16,69.62,67.64,65.37,63.39,62.54,61.69,61.41,61.13,61.13,61.13,61.13,60.84,61.98,64.24,65.37,65.09,64.24,64.24,73.86,94.24,114.33,132.44,146.03,155.65,159.33,156.78,146.03,127.92,111.5,99.05,90.56,84.62,80.37,77.26,74.99,73.58,73.3,72.73,71.88,72.45,71.88,71.32,71.03,70.75,70.75,73.3,75.56,81.79,95.65,106.12,113.77,120.28,126.78,129.33,125.65,117.44,107.82,99.33,92.82,87.73,84.62,82.92,80.94,80.94,85.75,88.86,88.3,86.88,84.9,82.64,81.22,80.09,78.11,76.13,74.99,74.43,74.71,73.3,76.13,80.37,81.5,80.37,78.39
1981,76.69,74.99,73.3,72.16,71.03,70.18,72.16,73.58,77.54,84.62,89.14,89.14,86.32,82.64,79.24,76.69,74.43,73.01,71.88,71.6,72.73,73.3,77.26,81.5,82.35,80.94,79.24,78.67,77.82,78.11,81.22,84.33,87.16,86.03,87.45,94.24,102.16,107.82,111.22,114.9,121.12,151.4,161.88,177.44,230.93,447.14,732.97,840.51,832.02,764.1,679.2,591.47,512.23,447.14,390.54,342.43,297.15,263.19,234.89,209.99,190.18,173.2,163.29,178.01,173.76,172.06,179.42,200.93,238.0,265.17,261.77,237.44,206.59,180.84,161.88,149.14,140.65,134.42,131.03,130.46,142.07,152.82,161.59,172.91,191.02,219.04,251.3,266.02,262.34,243.38,222.72,211.97,219.89,250.74,288.66,308.47,302.81,281.3,252.72,224.14,199.8,179.42,161.03,146.59,134.42,124.8,118.01,111.5,105.56,100.75,96.79,93.96,91.98,89.99,87.16,84.9,82.92,82.35,82.35,82.64,81.5,78.96,76.98,76.98,76.98,75.84,78.96,79.24,85.18,89.99,89.43,84.05,77.26,72.45,69.9,67.07,65.09,63.39,63.11,64.24,64.81,70.18,76.41,79.24,78.11,80.66,89.71,96.22,105.28,112.92,116.31,112.63,101.31,91.41,82.07,74.99,74.15,73.86,73.86,76.69,80.94,84.9,85.75,84.33,81.79,80.09,80.37,78.67,74.71,71.32,67.64,63.68,60.0,57.17,59.15,61.69,63.68,63.11,60.84,58.02,55.47,54.62,54.05,54.34,55.75,58.3,61.13,63.11,61.98,59.71,58.3,59.15,61.98,64.24,64.24,62.54,58.02,54.34,51.51,49.81,49.24,49.52,50.37,53.77,56.6,55.18,51.79,51.79,63.11,69.33,64.52,59.15,55.75,56.88,65.66,72.16,74.99,74.99,71.6,67.92,64.24,61.13,62.26,69.9,79.24,84.62,84.33,85.47,82.07,74.15,68.49,63.96,65.37,67.35,66.79,64.24,61.69,59.71,58.86,57.17,55.18,54.34,54.9,57.17,62.83,68.2,77.82,87.16,88.01,89.14,88.3,85.18,80.09,72.73,65.94,59.71,55.47,52.92,52.36,52.92,57.17,64.81,65.37,59.71,54.9,52.07,49.81,48.11,46.7,46.13,45.56,44.71,44.15,43.58,43.58,42.45,41.88,41.32,41.04,41.04,40.47,40.19,40.47,41.04,41.32,42.17,42.73,43.3,43.58,43.02,43.02,42.45,41.04,41.04,41.88,43.02,42.73,43.3,48.39,52.07,60.84,73.3,80.09,78.96,72.73,66.5,61.69,58.02,55.75,54.05,51.51,49.52,48.68,49.52,49.81,49.81,51.79,57.73,63.68,67.35,68.2,64.52,61.41,60.0,56.88,54.62,54.05,55.47,55.47,54.34,54.34,54.34,53.77,53.2,54.34,56.32,58.3,64.24,69.33,70.18,67.64,65.09,61.98,58.86,56.32,54.9,56.6,58.3,63.96,71.32,83.2,95.37,103.58,107.54,107.26,103.3,96.22,87.45,82.35,78.11,78.96,86.32,95.37,104.99,117.44
1982,131.6,147.73,170.08,207.72,254.7,294.32,322.62,331.11,342.43,353.75,350.92,339.6,336.77,345.26,336.77,311.3,285.83,278.47,288.66,299.98,299.98,282.15,257.53,230.36,206.02,187.63,172.35,163.86,159.05,152.82,147.44,142.07,137.26,151.4,169.23,208.29,365.07,710.33,894.28,919.75,865.98,766.93,656.56,560.34,489.59,447.14,438.65,492.42,566.0,582.98,571.66,577.32,591.47,574.49,523.55,458.46,401.86,356.58,319.79,285.83,263.19,250.74,247.91,247.06,247.06,247.06,243.38,256.12,297.15,384.88,489.59,534.87,503.74,441.48,379.22,325.45,283.0,252.72,228.95,210.55,197.25,187.63,182.82,178.29,179.14,179.99,184.8,193.57,203.76,210.55,206.31,193.86,179.7,167.54,158.2,151.4,144.61,141.5,142.35,147.73,152.82,155.93,159.61,162.44,160.18,151.69,139.8,129.9,121.69,116.88,115.46,118.86,128.76,146.31,178.57,242.81,299.98,322.62,316.96,308.47,314.13,316.96,297.15,266.02,231.78,201.78,178.57,157.63,139.52,128.48,127.92,133.29,137.82,140.37,142.63,142.63,136.41,123.39,112.35,101.88,95.09,91.98,94.24,95.65,100.75,106.69,109.52,111.22,113.2,117.16,115.75,107.54,98.77,96.5,94.52,90.84,86.32,84.62,86.03,82.07,75.84,71.32,69.05,66.5,66.79,70.75,79.24,85.47,82.92,80.94,81.22,81.5,77.26,77.54,76.13,82.64,87.45,82.92,80.66,82.07,91.69,104.71,110.94,111.78,112.07,108.67,98.48,87.45,78.11,74.71,76.98,82.92,84.05,95.37,108.11,119.14,125.09,125.09,124.52,123.67,127.07,128.48,124.8,123.39,132.73,141.78,153.67,166.12,189.04,217.34,243.38,274.51,279.04,269.42,267.44,270.26,268.85,258.38,241.96,223.57,204.61,188.2,180.84,181.97,188.76,193.57,197.25,213.1,214.8,221.02,216.21,204.04,189.61,173.76,160.74,152.54,144.33,134.99,123.95,114.9,106.41,99.9,95.09,91.13,86.32,82.92,82.07,79.81,86.32,100.18,108.67,110.09,111.78,113.77,113.77,116.31,121.41,130.18,132.73,131.6,128.2,120.84,112.07,103.58,96.79,90.56,84.9,80.94,77.82,74.99,72.73,70.75,69.05,67.92,67.35,66.79,66.79,66.5,65.94,67.64,69.9,71.88,74.15,80.09,78.96,88.86,112.35,125.37,135.56,136.69,127.07,112.63,100.18,90.56,83.77,78.96,74.99,72.45,70.75,69.33,68.2,67.64,67.64,67.35,67.07,67.07,70.18,84.9,95.65,105.84,118.29,128.2,127.35,117.16,105.56,97.07,91.98,87.73,87.45,91.41,93.67,93.11,91.41,89.71,89.99,93.96,100.46,106.41,106.12,103.3,97.35,93.67,92.26,92.54,94.8,102.73,111.22,122.26,128.48,172.06,186.21,195.84,234.89,285.83,322.62,367.9,365.07,348.09,333.94,328.28,322.62,311.3,302.81,294.32,291.49,279.04,256.12,227.25,202.91,183.38,168.38,158.2,161.59,172.06,184.52
1985,73.3,76.13,81.5,94.24,106.97,113.77,118.86,125.09,124.8,118.29,110.37,100.18,91.41,87.45,83.77,80.94,79.52,81.5,85.47,97.35,102.73,104.99,102.16,95.37,89.99,88.01,85.47,88.3,91.13,97.35,107.54,113.77,119.71,133.58,157.06,180.84,211.97,253.85,294.32,328.28,367.9,523.55,713.16,744.29,670.71,571.66,475.44,401.86,345.26,299.98,257.25,222.44,200.08,177.44,166.4,163.01,157.63,155.65,162.44,176.59,207.16,238.85,272.25,294.32,325.45,353.75,384.88,365.07,325.45,279.89,245.36,215.08,190.74,173.2,157.06,161.59,163.01,160.46,160.46,168.1,177.44,178.57,178.57,184.52,192.44,194.14,189.04,178.57,163.57,153.1,139.24,129.61,123.39,118.86,115.46,112.07,110.65,113.2,120.56,130.18,136.12,133.01,125.09,116.6,108.39,103.86,101.03,103.3,111.5,123.39,129.61,127.92,124.24,116.6,104.99,97.92,92.82,88.58,84.9,81.5,77.54,78.67,77.54,74.43,71.6,70.75,69.9,69.05,74.71,83.48,96.79,116.03,133.01,163.57,189.61,207.16,209.42,186.21,146.03,113.2,94.24,80.94,76.13,76.69,86.03,99.62,101.03,91.41,78.96,72.16,67.35,64.24,62.54,59.71,56.88,54.9,53.2,51.79,50.94,49.81,48.96,50.66,52.92,53.49,60.84,74.43,93.96,99.05,96.79,95.09,91.41,90.28,89.99,87.73,81.5,76.69,69.9,61.98,63.68,69.05,67.07,64.24,62.54,57.17,54.62,54.9,56.88,59.71,69.62,91.41,108.96,115.46,110.94,97.64,81.5,76.13,75.56,78.39,81.79,84.33,80.37,74.43,71.6,69.05,65.09,64.24,70.18,81.79,88.58,88.58,86.03,90.84,97.64,102.16,104.99,106.69,99.62,88.86,78.96,77.82,100.18,113.77,118.29,118.58,114.9,105.28,96.79,90.28,90.28,90.84,91.41,89.99,84.9,77.26,72.16,69.62,71.03,84.9,102.16,113.2,121.97,126.22,124.24,119.71,129.33,143.76,147.44,153.1,155.65,156.5,153.1,143.76,125.09,109.24,96.79,86.03,76.13,69.62,64.81,61.69,59.71,56.88,54.62,54.05,53.77,53.2,54.62,58.3,67.07,75.84,75.84,69.9,65.94,62.83,62.83,75.56,97.64,111.78,117.73,119.14,114.62,103.3,90.84,80.66,73.86,69.62,65.37,62.83,60.56,60.0,60.56,65.37,67.92,67.07,65.37,63.96,64.24,63.39,62.26,61.13,63.11,76.13,92.54,123.1,161.31,195.27,236.59,270.83,288.66,279.6,254.7,219.04,185.36,153.95,133.58,115.75,108.39,102.73,97.35,95.09,92.26,90.28,87.45,85.47,90.56,140.65,174.33,191.02,206.59,220.74,229.23,222.44,209.7,199.23,193.29,196.68,208.57,236.02,285.83,333.94,350.92,345.26,308.47,271.68,238.29,210.55,205.74,204.04,212.25,250.46,322.62,438.65,526.38,534.87,481.1,416.01,367.9,299.98,252.72,223.0,202.63,192.44,185.65,180.27,177.44
1986,194.42,214.8,235.46,265.17,311.3,353.75,379.22,376.39,365.07,353.75,336.77,314.13,311.3,333.94,373.56,416.01,416.01,382.05,333.94,291.49,260.93,240.83,234.89,237.72,240.83,240.27,234.89,224.7,215.93,213.66,211.68,203.48,193.86,184.8,177.72,175.46,187.06,204.04,249.61,359.41,566.0,772.59,865.98,843.34,809.38,735.8,625.43,520.72,438.65,384.88,348.09,319.79,299.98,285.83,276.77,270.83,271.68,281.87,283.0,272.25,257.81,234.89,219.04,207.72,197.82,192.72,188.2,183.38,177.72,174.33,168.95,172.06,182.82,207.16,262.62,390.54,602.79,758.44,823.53,792.4,721.65,650.9,529.21,495.25,449.97,393.37,348.09,316.96,283.0,258.94,235.46,214.23,203.48,193.86,186.21,177.72,171.5,165.56,157.91,153.39,149.14,145.18,140.93,136.12,133.01,131.88,131.03,129.9,130.46,132.73,131.88,127.63,122.82,117.73,112.35,108.96,103.58,100.46,97.64,95.65,92.54,89.14,85.47,82.92,79.81,77.82,75.56,74.71,73.58,73.01,71.6,71.03,69.62,68.49,67.92,67.64,66.5,65.94,67.35,72.45,80.37,93.39,99.9,98.48,90.84,82.92,75.28,70.47,67.64,66.79,68.49,73.58,80.94,82.92,80.09,77.26,72.45,69.05,65.37,63.39,61.98,61.13,60.0,61.13,61.98,61.13,58.3,55.75,54.9,56.03,58.58,60.0,60.84,59.71,57.73,56.6,55.18,52.64,51.79,52.64,55.18,56.6,56.32,56.32,54.05,52.07,50.66,49.81,48.68,49.24,47.83,47.83,46.41,45.0,45.0,45.85,46.41,44.71,45.56,46.13,49.24,49.24,47.54,51.51,56.6,62.26,61.69,61.13,59.15,61.98,69.62,71.6,65.94,59.71,55.75,53.77,52.64,53.49,52.07,50.66,51.22,50.94,52.07,52.07,55.18,56.32,58.58,61.98,63.39,61.98,59.71,60.0,66.5,67.64,67.35,64.81,61.98,61.13,60.0,57.45,56.6,54.9,56.03,57.17,62.54,67.07,71.32,78.39,91.98,103.58,111.78,106.97,96.5,89.14,80.37,73.86,72.16,73.58,72.45,68.77,66.5,65.94,65.66,65.66,65.37,63.68,63.68,62.26,59.71,57.17,55.75,54.9,53.49,52.64,51.79,51.22,52.07,53.49,51.79,50.09,49.24,48.96,48.68,48.11,47.83,48.96,54.05,59.15,61.69,65.66,67.07,67.07,64.52,61.98,59.15,55.47,53.77,55.18,56.6,57.17,61.69,66.22,67.07,63.96,60.84,58.02,56.32,54.62,53.49,54.05,54.62,55.18,55.18,54.05,53.49,52.36,51.22,50.66,52.36,54.62,53.49,53.49,54.9,57.45,61.69,68.49,81.5,91.41,92.26,91.98,91.69,94.52,108.67,130.18,151.97,169.8,186.78,197.25,204.04,202.06,190.46,168.38,147.16,127.07,121.12,127.35,136.69,148.01,156.22,164.71,168.38,164.71,157.06,150.56,144.9,140.93,138.39,141.78,149.14,155.93,164.14,176.03,183.95,187.63,179.14
1987,168.38,157.06,152.25,153.39,157.63,164.99,168.38,175.18,182.54,191.87,189.61,183.38,173.48,164.14,153.95,155.08,164.99,174.33,195.84,212.82,229.23,271.68,305.64,333.94,373.56,416.01,458.46,481.1,469.78,449.97,430.16,396.2,362.24,319.79,285.83,258.94,249.04,251.59,253.28,254.13,252.72,256.96,265.17,274.79,285.83,283.0,275.36,255.83,235.46,220.17,214.8,225.83,226.4,243.66,259.51,299.98,376.39,427.33,430.16,421.67,404.69,401.86,432.99,483.93,512.23,500.91,464.12,416.01,370.73,328.28,299.98,288.66,278.76,265.17,252.72,240.83,234.89,229.23,226.97,229.23,246.21,276.77,314.13,283.0,316.96,294.32,267.72,258.94,252.72,254.13,269.13,305.64,379.22,438.65,475.44,464.12,424.5,379.22,339.6,299.98,271.68,245.64,223.57,207.72,194.7,183.38,174.33,166.4,161.03,153.1,144.61,139.24,133.86,127.07,121.41,116.31,111.22,106.12,100.46,95.09,92.54,88.01,87.45,85.18,85.18,84.62,83.48,84.9,97.64,114.62,132.73,145.18,141.22,130.18,123.95,123.95,130.18,138.39,148.29,158.76,169.8,181.4,192.72,197.82,207.72,210.55,207.72,197.82,183.38,165.56,143.2,123.1,108.96,97.64,88.01,82.64,77.82,81.5,87.45,87.45,82.64,77.82,73.58,71.88,76.13,90.84,114.62,145.18,165.56,187.06,205.18,223.57,246.78,265.17,308.47,336.77,350.92,367.9,359.41,333.94,299.98,278.19,246.78,224.7,207.72,195.27,193.86,197.82,207.72,224.7,245.64,252.72,246.78,217.91,183.38,163.29,141.22,133.86,122.26,111.78,100.46,93.96,91.13,95.09,86.32,80.09,78.96,77.82,75.56,77.82,80.09,81.5,82.64,84.33,80.09,76.13,75.56,73.86,75.56,75.56,75.56,75.56,69.05,67.07,72.45,101.03,163.86,233.19,308.47,367.9,359.41,319.79,262.06,206.59,164.71,137.54,111.78,100.46,89.43,82.64,77.82,75.28,71.88,71.6,71.6,71.03,71.6,73.58,78.67,77.82,89.43,91.98,95.09,90.84,95.09,100.46,106.12,115.75,120.84,120.84,109.8,103.3,101.31,92.54,82.64,76.13,73.58,69.62,66.5,63.68,62.26,58.86,58.3,58.3,58.3,56.6,55.18,54.05,53.77,53.49,52.07,51.51,50.94,50.66,50.37,49.24,49.24,48.96,48.96,48.68,48.68,48.39,48.39,48.11,48.11,47.83,47.83,48.39,48.68,49.24,49.81,50.09,50.09,50.09,49.52,49.24,51.22,54.62,59.15,56.88,56.88,59.15,58.3,58.02,54.9,53.49,53.49,54.05,54.62,54.62,62.83,74.43,93.39,114.62,128.76,132.73,128.48,114.62,99.62,88.01,81.5,78.39,76.13,75.28,77.26,79.24,78.39,73.58,70.75,69.62,66.79,67.07,67.64,67.64,66.79,66.5,65.66,65.37,66.5,67.64,67.64,69.05,70.47,73.58,74.43,74.43,74.71,78.67,86.88,90.84,90.84,91.41,90.84,91.98,103.3
1988,105.56,105.56,118.86,127.07,137.54,149.14,158.76,164.71,163.86,157.06,146.88,139.8,138.39,127.07,118.29,109.52,107.26,111.78,120.28,138.95,156.22,174.33,197.82,223.57,262.06,299.98,325.45,311.3,288.66,268.28,236.02,210.27,188.2,169.8,154.8,145.18,140.08,141.22,149.99,160.46,174.33,177.72,174.33,163.86,150.56,145.18,140.65,140.65,153.1,188.2,234.89,285.83,373.56,520.72,636.75,679.2,625.43,532.04,438.65,294.32,251.02,223.57,219.04,228.1,278.19,421.67,599.96,713.16,766.93,738.63,676.37,597.13,520.72,455.63,401.86,356.58,316.96,283.0,258.94,237.72,222.44,211.68,206.59,205.74,199.52,195.84,196.68,210.55,234.32,274.79,314.13,325.45,314.13,285.83,258.94,236.59,220.74,207.72,193.86,183.38,179.7,169.8,153.1,145.18,142.07,141.22,139.8,137.54,131.88,129.61,135.56,152.25,175.18,191.02,195.84,186.78,171.5,156.22,152.25,149.14,143.2,129.33,117.16,110.37,103.3,95.09,89.43,84.9,81.22,79.81,77.82,79.81,81.5,79.81,73.58,70.75,67.92,66.5,64.81,62.83,61.13,59.71,58.58,58.02,57.17,54.9,57.45,65.37,65.94,62.54,59.15,58.3,55.47,54.05,52.92,51.79,52.36,53.49,54.9,55.47,55.75,56.32,58.02,58.02,56.88,54.62,50.66,48.96,47.54,46.98,45.85,45.28,45.0,44.71,44.71,45.0,46.13,51.79,55.18,56.6,58.3,73.58,93.96,122.26,136.69,141.22,146.88,155.08,169.8,178.86,188.2,191.87,181.12,151.12,123.95,118.29,117.73,116.31,108.96,104.99,98.2,91.41,89.43,92.54,96.5,102.16,105.56,103.3,98.77,96.79,97.35,93.96,85.47,82.64,80.66,77.82,75.28,73.58,76.13,80.66,80.09,77.82,76.13,74.43,72.73,69.9,71.6,81.5,93.39,107.54,112.35,106.12,95.09,89.99,82.92,80.09,79.24,76.13,73.58,69.9,65.37,64.24,65.37,69.62,73.86,78.67,87.45,110.37,145.18,172.06,210.27,265.17,342.43,407.52,430.16,396.2,365.07,370.73,393.37,376.39,348.09,339.6,336.77,345.26,350.92,339.6,305.64,265.17,228.66,192.72,172.06,166.4,170.65,179.7,182.54,173.48,171.5,183.38,193.86,216.78,245.64,255.27,238.29,211.68,174.33,148.29,130.18,118.86,104.43,99.33,96.79,94.52,92.54,90.84,89.99,91.98,95.65,101.6,98.77,93.96,88.58,85.47,82.64,81.5,79.81,81.22,84.62,93.67,96.22,99.33,104.43,112.35,117.16,115.18,108.96,102.73,97.64,93.67,91.98,92.54,92.54,91.98,91.41,93.67,98.77,110.65,127.07,136.12,148.29,143.76,128.76,120.28,111.78,106.12,103.3,100.46,97.64,95.09,92.54,89.99,87.45,87.45,86.32,84.9,88.58,92.54,97.64,105.56,110.37,111.22,107.26,100.46,98.2,96.79,95.09,93.96,92.54,89.99,89.99,88.58,87.45,87.45,87.45,86.88,86.88
