SID,Region
CA-11274630,CPMW
CA-11284400,CPMW
CA-11294000,CPMW
CA-11299600,CPMW
CA-11315000,CPMW
CA-11316800,CPMW
CA-11342000,CPMW
CA-11367500,CPMW
CA-11368000,CPMW
CA-11372000,CPMW
CA-11379500,CPMW
CA-11381500,CPMW
CA-11383500,CPMW
CA-11402000,CPMW
CA-11413000,CPMW
CA-11425500,CPMW
CA-11427000,CPMW
CA-11427700,CPMW
CA-11441500,CPMW
CA-11449500,CPMW
CA-11451100,CPMW
CA-11456000,CPMW
CA-11461000,CPMW
CA-11465200,CPMW
CA-11468000,CPMW
CA-11468500,CPMW
CA-11469000,CPMW
CA-11473900,CPMW
CA-11475560,CPMW
CA-11475800,CPMW
CA-11476500,CPMW
CA-11476600,CPMW
CA-11477000,CPMW
CA-11478500,CPMW
CA-11480390,CPMW
CA-11481200,CPMW
CA-11481500,CPMW
CA-11482500,CPMW
CA-11519500,CPMW
CA-11521500,CPMW
CA-11522500,CPMW
CA-11523200,CPMW
CA-11525500,CPMW
CA-11528700,CPMW
CA-11530000,CPMW
CA-11532500,CPMW
CO-06614800,USRM
CO-06620000,USRM
CO-06746095,USRM
CO-07083000,Southwest
CO-07096000,Southwest
CO-07105945,Southwest
CO-09034900,Southwest
CO-09035800,Southwest
CO-09035900,Southwest
CO-09047700,Southwest
CO-09065500,Southwest
CO-09066000,Southwest
CO-09066200,Southwest
CO-09066300,Southwest
CO-09081600,Southwest
CO-09085000,Southwest
CO-09107000,Southwest
CO-09110000,Southwest
CO-09112500,Southwest
CO-09119000,Southwest
CO-09124500,Southwest
CO-09132500,Southwest
CO-09146200,Southwest
CO-09147500,Southwest
CO-09165000,Southwest
CO-09239500,USRM
CO-09251000,USRM
CO-09304500,Southwest
CO-09306242,Southwest
CO-09352900,Southwest
CO-09361500,Southwest
ID-08NH032,USRM
ID-12306500,USRM
ID-12321500,USRM
ID-12411000,USRM
ID-12413000,USRM
ID-12413500,USRM
ID-12414500,USRM
ID-12414900,USRM
ID-13037500,USRM
ID-13073000,USRM
ID-13075000,USRM
ID-13082500,USRM
ID-13083000,USRM
ID-13120000,USRM
ID-13120500,USRM
ID-13139510,USRM
ID-13147900,USRM
ID-13168500,USRM
ID-13185000,USRM
ID-13186000,USRM
ID-13200000,USRM
ID-13235000,USRM
ID-13240000,USRM
ID-13269000,USRM
ID-13296500,USRM
ID-13302500,USRM
ID-13305000,USRM
ID-13310700,USRM
ID-13313000,USRM
ID-13316500,USRM
ID-13317000,USRM
ID-13336500,USRM
ID-13337000,USRM
ID-13338500,USRM
ID-13340000,USRM
ID-13340600,USRM
ID-13342500,USRM
ID-13345000,USRM
MT-05014500,USRM
MT-06019500,USRM
MT-06037500,USRM
MT-06043500,USRM
MT-06061500,USRM
MT-06099500,USRM
MT-06191000,USRM
MT-06191500,USRM
MT-06192500,USRM
MT-06207500,USRM
MT-06214500,USRM
MT-06289000,USRM
MT-12302055,USRM
MT-12304500,USRM
MT-12330000,USRM
MT-12332000,USRM
MT-12354500,USRM
MT-12355500,USRM
MT-12358500,USRM
MT-12370000,USRM
MT-12374250,USRM
MT-12375900,USRM
MT-12377150,USRM
MT-12381400,USRM
MT-12390700,USRM
NM-07203000,Southwest
NM-07207500,Southwest
NM-07208500,Southwest
NM-07211500,Southwest
NM-07216500,Southwest
NM-07218000,Southwest
NM-07226500,Southwest
NM-08267500,Southwest
NM-08269000,Southwest
NM-08271000,Southwest
NM-08275500,Southwest
NM-08276500,Southwest
NM-08279000,Southwest
NM-08289000,Southwest
NM-08291000,Southwest
NM-08324000,Southwest
NM-08377900,Southwest
NM-08378500,Southwest
NM-08380500,Southwest
NM-08387000,Southwest
NM-08405500,Southwest
NM-08408500,Southwest
NM-09364500,Southwest
NM-09386900,Southwest
NM-09430500,Southwest
NM-09430600,Southwest
NM-09431500,Southwest
NT-10EB001,Northwest
NT-10ED002,Northwest
NT-10ED003,Northwest
NT-10FA002,Northwest
NT-10FB005,Northwest
NT-10GA001,Northwest
NT-10GB006,Northwest
NT-10LA002,Northwest
NT-10LC007,Northwest
