west,Region,Name
ID-13337000,US_Rockies,USRM
ID-13338500,US_Rockies,USRM
ID-13340000,US_Rockies,USRM
ID-13340600,US_Rockies,USRM
MT-06037500,US_Rockies,USRM
MT-06043500,US_Rockies,USRM
MT-06191000,US_Rockies,USRM
MT-06191500,US_Rockies,USRM
MT-06289000,US_Rockies,USRM
MT-12358500,US_Rockies,USRM
MT-12374250,US_Rockies,USRM
MT-12375900,US_Rockies,USRM
MT-12377150,US_Rockies,USRM
MT-12381400,US_Rockies,USRM
MT-12390700,US_Rockies,USRM
NM-07208500,South_West,Southwest
NM-07226500,South_West,Southwest
NM-08267500,South_West,Southwest
NM-08269000,South_West,Southwest
NM-08271000,South_West,Southwest
NM-08324000,South_West,Southwest
NM-08377900,South_West,Southwest
NM-08378500,South_West,Southwest
NM-08380500,South_West,Southwest
NM-09386900,South_West,Southwest
NM-09430500,South_West,Southwest
NM-09430600,South_West,Southwest
NT-10EB001,Northwest,Northwest
NT-10FA002,Northwest,Northwest
NT-10LA002,Northwest,Northwest
NT-10LC007,Northwest,Northwest
NT-10MC002,Northwest,Northwest
NT-10ND002,Northwest,Northwest
NV-10244950,South_West,Southwest
NV-10249300,South_West,Southwest
NV-10316500,South_West,Southwest
NV-10329500,South_West,Southwest
NV-13161500,South_West,Southwest
OR-10396000,South_West,Southwest
OR-13331500,US_Rockies,USRM
OR-14020000,US_Rockies,USRM
OR-14092750,Pacific_Mid_West,CPMW
OR-14096850,Pacific_Mid_West,CPMW
OR-14137000,Pacific_North_West,CPNW
OR-14138800,Pacific_North_West,CPNW
OR-14138870,Pacific_North_West,CPNW
OR-14138900,Pacific_North_West,CPNW
OR-14139800,Pacific_North_West,CPNW
OR-14141500,Pacific_North_West,CPNW
OR-14154500,Pacific_Mid_West,CPMW
OR-14158500,Pacific_Mid_West,CPMW
OR-14158790,Pacific_Mid_West,CPMW
OR-14166500,Pacific_Mid_West,CPMW
OR-14182500,Pacific_Mid_West,CPMW
OR-14185000,Pacific_Mid_West,CPMW
OR-14185900,Pacific_Mid_West,CPMW
OR-14187000,Pacific_Mid_West,CPMW
OR-14301000,Pacific_North_West,CPNW
OR-14303200,Pacific_North_West,CPNW
OR-14305500,Pacific_Mid_West,CPMW
OR-14306340,Pacific_Mid_West,CPMW
OR-14306500,Pacific_Mid_West,CPMW
OR-14308990,Pacific_Mid_West,CPMW
OR-14309500,Pacific_Mid_West,CPMW
OR-14316700,Pacific_Mid_West,CPMW
OR-14325000,Pacific_Mid_West,CPMW
OR-14362250,Pacific_Mid_West,CPMW
OR-14400000,Pacific_Mid_West,CPMW
UT-09183500,South_West,Southwest
UT-09312600,South_West,Southwest
UT-09378170,South_West,Southwest
UT-09378630,South_West,Southwest
UT-09404450,South_West,Southwest
UT-10023000,US_Rockies,USRM
UT-10166430,South_West,Southwest
UT-10172200,South_West,Southwest
UT-10172700,South_West,Southwest
UT-10172800,South_West,Southwest
UT-10173450,South_West,Southwest
UT-10205030,South_West,Southwest
UT-10234500,South_West,Southwest
UT-10242000,South_West,Southwest
WA-12013500,Pacific_North_West,CPNW
WA-12020000,Pacific_North_West,CPNW
WA-12025000,Pacific_North_West,CPNW
WA-12025700,Pacific_North_West,CPNW
WA-12035000,Pacific_North_West,CPNW
WA-12040500,Pacific_North_West,CPNW
WA-12041200,Pacific_North_West,CPNW
WA-12043000,Pacific_North_West,CPNW
WA-12048000,Pacific_North_West,CPNW
WA-12054000,Pacific_North_West,CPNW
WA-12056500,Pacific_North_West,CPNW
WA-12073500,Pacific_North_West,CPNW
WA-12082500,Pacific_North_West,CPNW
WA-12092000,Pacific_North_West,CPNW
WA-12095000,Pacific_North_West,CPNW
WA-12114500,Pacific_North_West,CPNW
WA-12115000,Pacific_North_West,CPNW
WA-12115500,Pacific_North_West,CPNW
WA-12117000,Pacific_North_West,CPNW
WA-12141300,Pacific_North_West,CPNW
WA-12143600,Pacific_North_West,CPNW
